,Ones,Zeros,Output
1069,122271,105601,0
1070,89431,68612,0
1071,47307,55714,0
1072,113854,93419,0
1073,78926,168460,0
1074,68512,438770,0
1075,97417,335111,0
1076,103171,303902,0
1077,133502,354700,0
1078,129137,86484,0
1079,76021,82983,0
1080,36666,66448,0
1081,82781,93409,0
1082,114502,111816,0
1083,73438,92837,0
1084,42514,58021,0
1085,42919,180807,0
1086,129565,111835,0
1087,5256,87187,0
1088,88657,306081,0
1089,131044,84085,0
1090,16390,56525,0
1091,97114,364924,0
1092,131704,338228,0
1093,107169,85022,0
1094,125491,351868,0
1095,80313,109192,0
1096,134549,101500,0
1097,158346,67337,0
1098,33990,79673,0
1099,89459,120562,0
1100,80152,71463,0
1101,97802,238767,0
1102,122442,105364,0
1103,241923,310744,0
1104,203223,56880,0
1105,51142,81980,0
1106,136345,94954,0
1107,4466,82315,0
1108,39464,85940,0
1109,58549,96692,0
1110,82942,106775,0
1111,67456,19294,0
1112,68849,83398,0
1113,18186,82593,0
1114,126699,56614,0
1115,147245,338620,0
1116,2971,29102,0
1117,13626,93967,0
1118,42164,250129,0
1119,2435,105756,0
1120,21145,93130,0
1121,50195,87106,0
1122,54409,300272,0
1123,11158,134747,0
1124,103164,253466,0
1125,31867,95239,0
1126,134275,59108,0
1127,65349,284495,0
1128,25213,56831,0
1129,177288,363876,0
1130,56580,96664,0
1131,130412,312814,0
1132,68737,91593,0
1133,72142,89250,0
1134,35985,38516,0
1135,57276,64838,0
1136,73818,75576,0
1137,91193,99244,0
1138,105444,90302,0
1139,86515,333887,0
1140,73847,282273,0
1141,42874,89190,0
1142,77926,300861,0
1143,51641,156842,0
1144,53479,316992,0
1145,23020,193379,0
1146,26515,158040,0
1147,2781,85131,0
1148,160182,80714,0
1149,119236,82137,0
1150,162323,366987,0
1151,91539,141981,0
1152,60705,292317,0
1153,116594,117917,0
1154,80154,82868,0
1155,7369,231327,0
1156,38556,91282,0
1157,120367,325368,0
1158,23787,81346,0
1159,53234,81286,0
1160,125627,121709,0
1161,56590,83567,0
1162,48974,91116,0
1163,141965,66937,0
1164,125950,52908,0
1165,85524,108939,0
1166,105979,383103,0
1167,65784,85067,0
1168,56315,505994,0
1169,68474,114720,0
1170,9639,225850,0
1171,86559,55185,0
1172,135047,85288,0
1173,55578,303667,0
1174,94986,364138,0
1175,102058,316372,0
1176,14483,79085,0
1177,103892,96487,0
1178,68356,129990,0
1179,31909,47876,0
1180,107516,78927,0
1181,26276,52384,0
1182,67262,95385,0
1183,88802,106113,0
1184,113464,388570,0
1185,91243,266893,0
1186,61643,113545,0
1187,43163,45706,0
1188,44497,50974,0
1189,39419,84128,0
1190,48150,148497,0
1191,158630,341460,0
1192,84964,100881,0
1193,117429,90270,0
1194,29415,56509,0
1195,83202,108382,0
1196,147998,368636,0
1197,105208,94083,0
1198,138517,394614,0
1199,170519,338990,0
1200,69683,87676,0
1201,112177,84857,0
1202,173844,331977,0
1203,420,90517,0
1204,93030,80391,0
1205,70971,340998,0
1206,86051,266602,0
1207,80031,61176,0
1208,14710,85536,0
1209,68022,350490,0
1210,88833,462999,0
1211,91421,84290,0
1212,36777,117422,0
1213,135414,89568,0
1214,99687,117497,0
1215,59714,81596,0
1216,29805,84801,0
1217,36315,84481,0
1218,136385,90777,0
1219,86425,363773,0
1220,80693,110870,0
1221,40031,130032,0
1222,108709,337647,0
1223,64895,89164,0
1224,126623,82950,0
1225,135102,47051,0
1226,67646,88147,0
1227,65765,140774,0
1228,103242,87462,0
1229,77241,153489,0
1230,167094,68611,0
1231,102373,278305,0
1232,42975,88436,0
1233,73512,306379,0
1234,28706,89975,0
1235,84448,39788,0
1236,102838,79750,0
1237,94604,49722,0
1238,100440,269845,0
1239,144741,98391,0
1240,43489,146387,0
1241,203410,79313,0
1242,103182,127036,0
1243,110508,112254,0
1244,97260,82428,0
1245,115576,104244,0
1246,67205,83794,0
1247,27544,85183,0
1248,13391,50913,0
1249,35319,58630,0
