,Blue_Variance,Green_Variance,Red_Variance,Output,Var_,Amount,Pixel,Angle
104,2519.966424917766,3652.6707608044544,3955.3906922603296,0,0.004139332673044494,0.001,3.0,132.02889781010757
105,6516.011956130564,4577.171617928962,3861.538653109456,0,0.009447474383245016,0.001,3.0,80.69379710655456
106,4629.07464003002,4179.132473648081,3767.0867496281453,0,0.06703870448786813,0.001,3.0,161.27288604662624
107,3454.1869718858397,4257.883502707282,3566.9971117610958,0,0.04366377407721653,0.001,3.0,5.836568237339826
108,3401.7803335514777,3931.482231893185,3191.020376465514,0,0.03815718401834195,0.001,3.0,85.42130045792445
109,5009.594429791815,3925.424346320959,3445.801274453412,0,0.03454139969949609,0.001,3.0,160.5731221877027
110,1804.5450308797328,2904.3995274687163,2089.7179044819386,0,0.02057441560420422,0.001,3.0,10.088089339087569
111,2958.199917408927,3846.8107719352256,3403.027206376502,0,0.0035664951056664407,0.001,3.0,170.70095287680786
112,3651.704676768562,4710.171330973492,4036.5302923863,0,0.08036631129612873,0.001,3.0,167.0683670549389
113,2889.8510645959227,3356.5140319539532,2613.794998537327,0,0.03952605258537321,0.001,3.0,150.89072782629643
114,5372.0972906395,3486.3070096658003,2832.4559838006685,0,0.07111168652275936,0.001,3.0,155.1866153085072
115,6428.40591853514,3011.0188428355277,2105.0875536002113,0,0.0073847468642966934,0.001,3.0,105.63726134334652
116,5094.297032244594,4655.318194453003,3565.4030503868175,0,0.06965780360003622,0.001,3.0,124.63048361260823
117,4017.0374337830826,4263.928808920065,3545.7342139399752,0,0.0055522107891496164,0.001,3.0,87.64298121437153
118,6280.6137379497895,4698.700062470561,3845.099136614387,0,0.08183936225353079,0.001,3.0,60.5257060266345
119,2234.881231036193,3277.8302813892283,3195.049725372908,0,0.009775279638421362,0.001,3.0,72.92100757188078
120,5017.765536852706,5672.4676613034,5278.866218038961,0,0.02899147381364162,0.001,3.0,145.08059039120374
121,5035.25913418365,4257.928560435599,3505.4027583670913,0,0.09226305733234597,0.001,3.0,142.29227976000467
122,3642.7490442115877,4395.833187848421,3632.5344307688615,0,0.004818926165223329,0.001,3.0,8.415207619626203
123,4188.788842202711,4236.64397178697,4662.116329902098,0,0.017826210083666416,0.001,3.0,49.16907706779048
124,4207.6875571376895,4203.138780381108,3849.06869541581,0,0.06713157603505339,0.001,3.0,53.14428875240658
125,5520.343172933803,4287.212499778125,3478.7145644442517,0,0.07486183886441,0.001,3.0,94.94108970336165
126,3499.0585321829085,3805.6530109750283,3087.743189540701,0,0.035534125614316424,0.001,3.0,85.2038085637069
